step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
188,PAYMENT,8653.4,C730263470,21057.0,12403.6,M695416701,0.0,0.0,0,0
236,CASH_IN,72879.21,C1197645948,4386962.26,4459841.46,C501736626,740598.96,667719.75,0,0
325,TRANSFER,2467112.52,C1824620563,162158.0,0.0,C1848694051,1651343.31,4118455.82,0,0
404,PAYMENT,12081.96,C1103709960,79789.0,67707.04,M1593335452,0.0,0.0,0,0
187,TRANSFER,719566.86,C979405463,99415.0,0.0,C819974557,68582.69,788149.55,0,0
311,PAYMENT,4837.89,C1581584952,10726.0,5888.11,M148517759,0.0,0.0,0,0
376,CASH_IN,20666.7,C755653549,2507500.14,2528166.84,C813119953,4447636.47,4426969.78,0,0
38,CASH_OUT,92089.27,C493362950,0.0,0.0,C997983922,1304674.76,1396764.02,0,0
44,CASH_OUT,21472.75,C1747071280,5039.0,0.0,C1515116163,755240.11,776712.85,0,0
404,CASH_IN,87678.26,C63469978,275518.04,363196.3,C138575118,256818.78,169140.52,0,0
305,CASH_IN,90683.91,C1214535533,1146231.29,1236915.19,C901240975,98887.26,8203.35,0,0
597,CASH_OUT,40250.0,C743532244,42744.01,2494.02,C1825416299,305723.37,345973.37,0,0
139,CASH_IN,235464.42,C1652690503,1091564.39,1327028.8,C2038127641,0.0,0.0,0,0
322,CASH_IN,94056.24,C1457066675,3949920.81,4043977.06,C1192418195,3286961.7,3192905.46,0,0
394,CASH_IN,383214.99,C1065856681,5454727.41,5837942.4,C1390612421,1937511.33,1554296.34,0,0
166,PAYMENT,1924.37,C1221652621,0.0,0.0,M1656610452,0.0,0.0,0,0
403,CASH_OUT,57285.2,C1951962649,420404.0,363118.8,C56962970,0.0,57285.2,0,0
10,PAYMENT,11859.31,C1121544862,590.0,0.0,M1267480088,0.0,0.0,0,0
492,PAYMENT,2031.51,C182159888,0.0,0.0,M595813486,0.0,0.0,0,0
402,CASH_OUT,338122.13,C1752889626,0.0,0.0,C1450925270,895919.28,1234041.41,0,0
352,TRANSFER,196636.67,C1869334257,0.0,0.0,C18544298,595424.03,792060.7,0,0
187,CASH_IN,65195.98,C400949162,11284.0,76479.98,C1960600053,0.0,0.0,0,0
332,CASH_OUT,30194.39,C1958045539,4707.56,0.0,C1433978496,208930.98,239125.37,0,0
21,PAYMENT,19529.77,C1763653861,575633.0,556103.23,M1002073016,0.0,0.0,0,0
132,CASH_OUT,33638.01,C48433673,20187.0,0.0,C1073598776,0.0,33638.01,0,0
235,CASH_IN,91348.27,C351680641,2761204.7,2852552.97,C2021676522,109042.23,17693.96,0,0
131,PAYMENT,3670.79,C1864681372,94359.0,90688.21,M2105722982,0.0,0.0,0,0
514,PAYMENT,71757.98,C727128702,19811.0,0.0,M1187971834,0.0,0.0,0,0
297,PAYMENT,24425.0,C907323014,1927.0,0.0,M2058554075,0.0,0.0,0,0
186,CASH_IN,507675.64,C1013889149,6071.0,513746.64,C1869788991,0.0,0.0,0,0
239,PAYMENT,629.62,C1288338909,0.0,0.0,M1602720970,0.0,0.0,0,0
380,PAYMENT,10244.32,C1765866250,17.0,0.0,M720814063,0.0,0.0,0,0
379,CASH_OUT,184557.33,C1108843542,177134.05,0.0,C872683861,184863.61,369420.94,0,0
396,CASH_IN,10949.33,C2036332684,1167229.05,1178178.39,C257068460,32766.35,21817.02,0,0
298,CASH_OUT,12676.58,C10065107,10.0,0.0,C574621367,1314102.86,1326779.44,0,0
181,CASH_IN,133414.87,C726712285,963032.96,1096447.83,C1225616405,6891163.42,6757748.55,0,0
687,CASH_OUT,176857.91,C1366092592,182919.0,6061.09,C1173662598,1824219.99,2001077.9,0,0
275,CASH_OUT,193764.28,C1625066472,5760.0,0.0,C589299609,331883.83,525648.11,0,0
393,PAYMENT,21660.33,C1412296448,0.0,0.0,M1599301383,0.0,0.0,0,0
156,CASH_OUT,122410.96,C1132956834,26090.0,0.0,C707616533,103982.17,226393.13,0,0
373,PAYMENT,1119.09,C158652758,0.0,0.0,M193831412,0.0,0.0,0,0
396,CASH_IN,31802.29,C1662792533,16695665.74,16727468.03,C1881353509,498778.77,466976.48,0,0
330,CASH_OUT,130787.28,C863340243,0.0,0.0,C1525612478,141079.13,271866.41,0,0
396,CASH_IN,62442.77,C248020497,6263890.76,6326333.54,C539122762,442246.47,379803.7,0,0
282,PAYMENT,5646.22,C1819737644,35875.14,30228.92,M14430763,0.0,0.0,0,0
702,CASH_OUT,10000000.0,C1666917384,10000000.0,0.0,C779798347,3485891.28,13485891.28,1,0
378,TRANSFER,187761.76,C901042408,187761.76,0.0,C469325256,0.0,0.0,1,0
348,TRANSFER,514758.19,C1224698249,0.0,0.0,C2059250894,2964141.08,3478899.27,0,0
399,PAYMENT,8812.25,C28579927,159836.94,151024.69,M144946336,0.0,0.0,0,0
354,CASH_OUT,1323.44,C1773728838,30457.0,29133.56,C1246819054,63852.69,128258.13,0,0
19,CASH_OUT,31742.03,C392590551,88176.59,56434.56,C79762728,15688.0,0.0,0,0
142,PAYMENT,12798.77,C724637126,131961.0,119162.23,M1487775121,0.0,0.0,0,0
139,CASH_IN,86147.09,C253228103,14372676.26,14458823.34,C637302537,235223.78,149076.69,0,0
131,PAYMENT,12408.53,C2001113059,0.0,0.0,M92338994,0.0,0.0,0,0
621,TRANSFER,1077146.94,C1645503164,1077146.94,0.0,C220661112,0.0,0.0,1,0
258,PAYMENT,2818.47,C1124570726,0.0,0.0,M468041687,0.0,0.0,0,0
75,CASH_OUT,810039.19,C1922445613,810039.19,0.0,C461145537,409035.12,1219074.31,1,0
371,PAYMENT,30006.21,C1232390415,0.0,0.0,M2008944526,0.0,0.0,0,0
160,CASH_OUT,25019.36,C1092705635,34502.0,9482.64,C977797464,483563.6,508582.96,0,0
373,CASH_IN,352467.22,C1722970701,8552.0,361019.22,C865625302,1836237.36,1483770.14,0,0
191,DEBIT,2563.8,C176353011,0.0,0.0,C666102465,566434.43,568998.23,0,0
185,PAYMENT,10047.73,C417934350,30794.0,20746.27,M480231679,0.0,0.0,0,0
43,TRANSFER,93459.89,C1518273469,93459.89,0.0,C1076725693,0.0,0.0,1,0
554,CASH_OUT,9421856.87,C644898293,9421856.87,0.0,C714177004,0.0,9421856.87,1,0
160,PAYMENT,2073.07,C1858175577,19833.0,17759.93,M1296715267,0.0,0.0,0,0
187,CASH_OUT,2449.99,C637767881,0.0,0.0,C2061365760,1200367.59,1202817.58,0,0
241,CASH_OUT,989966.55,C58682758,989966.55,0.0,C1485453615,0.0,989966.55,1,0
329,PAYMENT,2745.93,C1615694014,0.0,0.0,M1010351682,0.0,0.0,0,0
569,TRANSFER,103053.5,C44492718,103053.5,0.0,C2136380114,0.0,0.0,1,0
328,CASH_IN,207825.61,C225091418,158424.0,366249.61,C576601943,95593.14,0.0,0,0
153,CASH_OUT,172906.05,C944114518,105640.0,0.0,C2074021889,0.0,172906.05,0,0
259,PAYMENT,5429.62,C1802032762,0.0,0.0,M1034768300,0.0,0.0,0,0
263,PAYMENT,9710.97,C270988237,0.0,0.0,M264260833,0.0,0.0,0,0
15,CASH_OUT,261048.44,C867391435,40593.0,0.0,C1441810518,160777.32,421825.76,0,0
232,TRANSFER,488308.84,C441412699,0.0,0.0,C2113036879,4314157.11,4802465.95,0,0
133,CASH_OUT,59621.11,C1830700490,0.0,0.0,C238863006,3254809.84,3314430.96,0,0
676,CASH_OUT,327773.15,C1561550785,327773.15,0.0,C1078506798,696949.46,1024722.61,1,0
329,CASH_IN,99837.75,C1844960972,1101.0,100938.75,C1680992646,0.0,0.0,0,0
203,CASH_IN,141614.17,C2101205255,8076550.58,8218164.75,C575683003,1572991.62,1431377.46,0,0
346,CASH_IN,260311.54,C98052550,25126.0,285437.54,C1825312437,0.0,0.0,0,0
35,CASH_OUT,225541.9,C1125071400,0.0,0.0,C1404176853,4663361.96,5012913.51,0,0
226,CASH_IN,320544.75,C352523171,13002722.99,13323267.74,C2083888827,1408295.94,1087751.2,0,0
124,CASH_OUT,1399637.19,C94208509,1399637.19,0.0,C777880922,0.0,1399637.19,1,0
321,TRANSFER,2699469.15,C1016515378,354.0,0.0,C1584481130,383523.9,3082993.05,0,0
156,CASH_IN,45295.68,C196060542,133023.0,178318.68,C785247470,1118823.79,1073528.11,0,0
565,CASH_IN,149918.39,C1850576733,785.0,150703.39,C1647404582,0.0,0.0,0,0
40,CASH_IN,59248.36,C254410137,10146713.2,10205961.56,C957155792,456883.53,397635.17,0,0
206,TRANSFER,235750.53,C587951461,235750.53,0.0,C1789153045,0.0,0.0,1,0
37,CASH_IN,197957.58,C889558253,496812.74,694770.32,C1676147214,1699326.16,1501368.58,0,0
40,PAYMENT,7078.08,C486661324,20190.0,13111.92,M373244903,0.0,0.0,0,0
371,CASH_OUT,380092.91,C981191425,129.0,0.0,C838917658,0.0,380092.91,0,0
106,TRANSFER,1409248.64,C1892918810,1409248.64,0.0,C2036490087,0.0,0.0,1,0
307,PAYMENT,12478.7,C2029714572,13728.0,1249.3,M1602872204,0.0,0.0,0,0
17,PAYMENT,12577.55,C2095315932,357123.81,344546.26,M379400238,0.0,0.0,0,0
670,TRANSFER,1097309.24,C316288377,1097309.24,0.0,C2134101004,0.0,0.0,1,0
548,CASH_OUT,68445.1,C110878063,31075.0,0.0,C221066516,0.0,68445.1,0,0
649,CASH_OUT,30674.98,C31510434,30674.98,0.0,C1809202550,326371.7,357046.68,1,0
252,CASH_OUT,548362.03,C1916215411,153.0,0.0,C1470642329,0.0,548362.03,0,0
515,CASH_OUT,124465.49,C293831245,124465.49,0.0,C100500839,0.0,124465.49,1,0
254,TRANSFER,821900.59,C1277787441,0.0,0.0,C1068097900,841536.26,1663436.84,0,0
332,CASH_IN,140347.66,C1384412612,3129453.9,3269801.56,C1057024406,200493.46,60145.8,0,0
404,PAYMENT,2773.35,C284130079,63167.0,60393.65,M971115683,0.0,0.0,0,0
302,CASH_OUT,242111.47,C1251242366,48287.0,0.0,C678498086,2515682.59,2757794.06,0,0
179,CASH_IN,72889.93,C888500093,2097.0,74986.93,C1845666172,74526.7,1636.77,0,0
397,CASH_IN,57894.46,C699378179,8276057.64,8333952.1,C2108580594,1380833.21,1322938.74,0,0
300,CASH_OUT,193030.57,C1853371556,0.0,0.0,C834635249,261488.02,454518.6,0,0
394,CASH_OUT,96378.09,C207512047,3146.2,0.0,C138401670,249662.82,346040.92,0,0
351,CASH_OUT,199838.32,C823382955,258017.0,58178.68,C1339395516,1686470.78,1886309.1,0,0
134,CASH_OUT,56799.11,C694850506,0.0,0.0,C1685158262,120693.84,177492.95,0,0
157,CASH_OUT,2986.8,C864659275,160760.0,157773.2,C1490367734,790223.04,793209.83,0,0
16,PAYMENT,8177.99,C760786899,0.0,0.0,M16541143,0.0,0.0,0,0
335,CASH_OUT,194326.2,C716392518,28611.34,0.0,C691643013,548726.16,743052.36,0,0
235,CASH_OUT,9678.52,C357073616,25705.0,16026.48,C1672451386,904283.16,913961.68,0,0
325,CASH_OUT,378672.96,C973220955,0.0,0.0,C1771622462,407044.47,785717.44,0,0
187,PAYMENT,5564.71,C110693794,0.0,0.0,M1820534769,0.0,0.0,0,0
202,CASH_OUT,168612.5,C1966737511,0.0,0.0,C1073409827,385863.48,554475.98,0,0
161,CASH_OUT,181577.07,C409658477,0.0,0.0,C104678881,660447.94,842025.01,0,0
305,CASH_IN,1119.34,C604011912,7730574.06,7731693.41,C1270549896,497825.0,496705.65,0,0
346,CASH_IN,30487.73,C174119929,8064363.51,8094851.24,C1377020151,105988.78,75501.05,0,0
261,CASH_OUT,88225.86,C434376161,1349.0,0.0,C1513406802,0.0,88225.86,0,0
159,CASH_IN,52336.85,C1485110743,21590.0,73926.85,C629355276,249684.24,197347.39,0,0
347,CASH_IN,207053.07,C98161339,3317.0,210370.07,C1476699587,754030.7,546977.63,0,0
249,CASH_IN,158650.08,C573133482,3440695.34,3599345.42,C1752796725,271844.55,113194.47,0,0
209,CASH_OUT,86491.86,C1432259891,299479.0,212987.14,C133839002,0.0,86491.86,0,0
352,PAYMENT,3819.8,C142744171,0.0,0.0,M781137116,0.0,0.0,0,0
347,PAYMENT,49817.63,C1705568568,512895.0,463077.37,M2000016174,0.0,0.0,0,0
250,CASH_IN,134808.66,C496451141,1728861.5,1863670.16,C87761332,875631.05,740822.38,0,0
226,CASH_IN,135373.53,C813499493,8951712.21,9087085.74,C732705987,237497.62,102124.09,0,0
127,CASH_OUT,426532.4,C326519862,426532.4,0.0,C1092771337,94613.13,521145.53,1,0
160,CASH_OUT,106092.49,C912718642,0.0,0.0,C285752424,231951.45,338043.94,0,0
252,CASH_OUT,416094.26,C2109351351,0.0,0.0,C966775488,1799092.78,2215187.03,0,0
533,TRANSFER,1303029.52,C1028433606,1303029.52,0.0,C1309625211,0.0,0.0,1,0
183,PAYMENT,3505.38,C1638860189,583900.13,580394.75,M941265248,0.0,0.0,0,0
19,CASH_OUT,244402.65,C1239373745,100095.0,0.0,C91104252,4357457.97,4696102.19,0,0
189,PAYMENT,3024.4,C1666928090,3721.0,696.6,M1795278956,0.0,0.0,0,0
131,CASH_OUT,184002.67,C943890373,50732.0,0.0,C589752084,29999.95,214002.62,0,0
209,PAYMENT,1167.08,C486492838,0.0,0.0,M1942331596,0.0,0.0,0,0
134,CASH_OUT,238869.89,C1831682722,118.0,0.0,C286959908,13210119.48,13448989.37,0,0
74,CASH_OUT,4582074.51,C1507497077,4582074.51,0.0,C910594371,154034.94,4736109.45,1,0
256,CASH_OUT,5565.22,C1748506772,103950.0,98384.78,C419184988,1409600.52,1415165.74,0,0
162,TRANSFER,702183.5,C632961643,285.0,0.0,C211878006,81175.58,783359.08,0,0
379,PAYMENT,15585.64,C1445793513,9201.0,0.0,M1114275056,0.0,0.0,0,0
214,CASH_IN,71954.24,C304428091,4821833.0,4893787.24,C2130109647,94140.69,22186.45,0,0
185,CASH_IN,165590.69,C836125981,104.0,165694.69,C1138371142,0.0,0.0,0,0
8,PAYMENT,2687.34,C83454586,82304.0,79616.66,M842237093,0.0,0.0,0,0
17,CASH_OUT,118561.74,C1730935317,41164.0,0.0,C1576631247,106208.92,224770.66,0,0
27,CASH_OUT,329937.88,C148278282,329937.88,0.0,C1783581377,349407.23,679345.1,1,0
300,CASH_IN,19796.27,C2005028366,5393140.97,5412937.24,C393949850,972668.04,952871.77,0,0
16,CASH_OUT,121626.82,C828364266,121626.82,0.0,C101179743,653744.34,775371.16,1,0
374,CASH_OUT,346525.22,C48692147,101.0,0.0,C1982382848,1984525.75,2331050.97,0,0
210,CASH_OUT,54719.91,C1426464275,0.0,0.0,C691328903,131660.12,186380.03,0,0
307,CASH_OUT,226784.92,C1477980786,0.0,0.0,C236145486,272370.02,499154.93,0,0
253,PAYMENT,35529.45,C1950257089,1084.0,0.0,M1113094677,0.0,0.0,0,0
133,PAYMENT,2405.43,C1788503169,215500.88,213095.45,M1541734371,0.0,0.0,0,0
211,CASH_IN,51241.66,C1921556934,1787859.35,1839101.0,C1905020502,408505.79,357264.14,0,0
329,CASH_OUT,269907.68,C901696324,0.0,0.0,C780194865,697275.44,967183.12,0,0
178,PAYMENT,10067.92,C1892475796,0.0,0.0,M93900751,0.0,0.0,0,0
661,CASH_OUT,258551.54,C46896252,0.0,0.0,C1308116807,1917276.15,2175827.69,0,0
393,CASH_OUT,329144.32,C1630527504,0.0,0.0,C1577744105,12785028.46,13114172.78,0,0
212,TRANSFER,362988.52,C1442171840,362988.52,0.0,C1053252672,0.0,0.0,1,0
402,TRANSFER,326528.62,C80237234,0.0,0.0,C1471120135,1009426.92,1335955.53,0,0
125,TRANSFER,8097183.22,C2047670192,8097183.22,0.0,C1601626536,0.0,0.0,1,0
250,CASH_OUT,198943.14,C735887793,131.0,0.0,C1342915007,128910.59,327853.73,0,0
395,CASH_OUT,428923.94,C727731562,0.0,0.0,C1573772398,490664.05,919587.99,0,0
46,CASH_OUT,395350.63,C1177148635,0.0,0.0,C308887423,708291.59,1103642.22,0,0
188,TRANSFER,220978.95,C1509404063,167281.32,0.0,C2027640578,3410593.86,3631572.81,0,0
279,PAYMENT,1487.87,C1642343418,198206.0,196718.13,M1631468820,0.0,0.0,0,0
237,PAYMENT,2078.43,C309758743,2954.0,875.57,M347761711,0.0,0.0,0,0
558,CASH_OUT,209829.57,C982640738,209829.57,0.0,C982569135,0.0,209829.57,1,0
394,PAYMENT,44042.08,C1930165493,20465.0,0.0,M277708191,0.0,0.0,0,0
336,CASH_OUT,38115.0,C1960830625,38115.0,0.0,C1755573980,190197.12,228312.12,1,0
685,TRANSFER,6295010.28,C1070365668,6295010.28,0.0,C874365535,0.0,0.0,1,0
402,CASH_OUT,26169.62,C2126925322,0.0,0.0,C1756076029,74341.19,100510.81,0,0
437,CASH_OUT,367364.8,C715754415,367364.8,0.0,C335051358,43049.23,410414.03,1,0
299,CASH_IN,889.19,C1373522662,45889.0,46778.19,C1935730862,2244650.83,2224765.74,0,0
138,CASH_OUT,315670.81,C1986816203,0.0,0.0,C546962913,674509.39,990180.2,0,0
137,PAYMENT,130.78,C1381581672,144235.0,144104.22,M1143256338,0.0,0.0,0,0
286,CASH_IN,90288.3,C1226922807,26774753.24,26865041.54,C1867082760,485693.74,395405.44,0,0
133,CASH_OUT,93704.68,C955296175,0.0,0.0,C1188520506,867496.96,1645816.5,0,0
155,PAYMENT,13468.32,C1080174662,0.0,0.0,M557415493,0.0,0.0,0,0
380,PAYMENT,14650.81,C1047549911,23311.0,8660.19,M2063452091,0.0,0.0,0,0
139,CASH_IN,172444.14,C1619109952,1714724.55,1887168.69,C1751244429,443238.63,270794.49,0,0
165,PAYMENT,27563.17,C834750429,115485.64,87922.47,M1222856878,0.0,0.0,0,0
157,CASH_OUT,130819.61,C1430313785,26570.0,0.0,C1454684151,28479.7,159299.31,0,0
309,CASH_IN,79929.12,C1545988380,7235185.96,7315115.08,C1677821074,576800.84,496871.72,0,0
332,CASH_OUT,302993.59,C1651330972,2273.0,0.0,C1139491339,501153.56,804147.15,0,0
165,TRANSFER,58981.63,C1377489718,20403.0,0.0,C330083036,1426.28,60407.92,0,0
406,CASH_OUT,20842.92,C1270123397,20842.92,0.0,C450191991,118111.75,138954.67,1,0
674,CASH_OUT,6250438.78,C951549308,6250438.78,0.0,C1717545219,0.0,6250438.78,1,0
297,CASH_OUT,113091.5,C742852539,284923.0,171831.5,C1154846010,176274.49,289365.99,0,0
275,PAYMENT,2779.62,C1203287695,9373.0,6593.38,M408212079,0.0,0.0,0,0
263,PAYMENT,36102.24,C1918881537,0.0,0.0,M1489010194,0.0,0.0,0,0
153,CASH_IN,26035.26,C2065355574,7601869.21,7627904.47,C1912496242,56454.35,0.0,0,0
306,TRANSFER,694248.38,C1786161534,39962.0,0.0,C782653166,35857.64,730106.02,0,0
